"sai_name";"sai_emu_nameshort";"gr_year";"grsa_lfs_code";"gr_number";"length_mm";"weight_g";"age_year";"female_proportion";"differentiated_proportion";"f_mean_length_mm";"f_mean_weight_g";"f_mean_age_year";"m_mean_length_mm";"m_mean_weight_g";"m_mean_age_year";"anguillicola_proportion";"anguillicola_intensity";"muscle_lipid_fatmeter_perc";"muscle_lipid_gravimeter_perc";"sum_6_pcb";"teq";"evex_proportion";"hva_proportion";"pb";"hg";"cd";"g_in_gy_proportion";"s_in_ys_proportion";"gr_comment"
"DE_Elbe_Elbe_DCF_F_Y";"DE_Elbe";2017;"Y";36;677.792777777778;538.277777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_T_S";"DE_Elbe";2011;"S";9;598.888888888889;485.888888888889;11.6666666666667;0.777777777777778;1;652.857142857143;577.571428571429;12;410;165;10.5;0.777777777777778;0.777777777777778;26.9555555555556;28.4;NA;85.6322294427769;NA;NA;43.264;494.801367076319;3.432;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_T_Y";"DE_Elbe";2011;"Y";94;557.127659574468;313.308510638298;8.1304347826087;0.976190476190476;0.893617021276596;577.682926829268;341.280487804878;8.4625;445;130.5;7;0.75531914893617;0.75531914893617;23.1734042553191;25.2285714285714;NA;37.2686319361897;NA;NA;72.18;392.843204046903;6.18;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_QUAL_cd_F_S";"DE_Elbe";2011;"S";5;660;544.2;9.4;1;1;660;544.2;9.4;NA;NA;NA;1;1;23.12;27.25;NA;65.2124391836593;NA;NA;219.374;324.524508915636;3.408;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_cd_F_Y";"DE_Elbe";2011;"Y";27;597.296296296296;374.376296296296;8.66666666666667;1;0.962962962962963;601.423076923077;380.813846153846;8.69230769230769;NA;NA;NA;0.777777777777778;0.777777777777778;23.1777777777778;27.5;NA;63.6229756542051;NA;NA;108.699259259259;462.173300909402;50.0348148148148;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_cd_T_S";"DE_Elbe";2011;"S";5;678;655;13.2;1;1;678;655;13.2;NA;NA;NA;0.8;0.8;27.2;28.4;NA;85.6322294427769;NA;NA;43.264;494.801367076319;3.432;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_cd_T_Y";"DE_Elbe";2011;"Y";4;562.5;322;8;1;0.75;583.333333333333;356.333333333333;8;NA;NA;NA;0.75;0.75;17.025;20.6666666666667;NA;46.5558719488752;NA;NA;72.18;317.094248989559;6.18;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_hg_F_S";"DE_Elbe";2011;"S";5;660;544.2;9.4;1;1;660;544.2;9.4;NA;NA;NA;1;1;23.12;27.25;NA;65.2124391836593;NA;NA;219.374;324.524508915636;3.408;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_hg_F_Y";"DE_Elbe";2011;"Y";74;609.013513513514;407.758918918919;8.93150684931507;1;0.986486486486487;610.643835616438;410.50904109589;8.94444444444444;NA;NA;NA;0.780821917808219;0.780821917808219;22.8756756756757;27.56;NA;62.566591791888;NA;NA;108.699259259259;413.581184346218;50.0348148148148;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_hg_T_S";"DE_Elbe";2011;"S";5;678;655;13.2;1;1;678;655;13.2;NA;NA;NA;0.8;0.8;27.2;28.4;NA;85.6322294427769;NA;NA;43.264;494.801367076319;3.432;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_hg_T_Y";"DE_Elbe";2011;"Y";33;596.666666666667;387.606060606061;9.18181818181818;1;0.96969696969697;599.6875;392.875;9.21875;NA;NA;NA;0.727272727272727;0.727272727272727;25.4727272727273;25.6666666666667;NA;36.2244026712151;NA;NA;64.58;392.843204046903;6.94;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_pb_F_S";"DE_Elbe";2011;"S";5;660;544.2;9.4;1;1;660;544.2;9.4;NA;NA;NA;1;1;23.12;27.25;NA;65.2124391836593;NA;NA;219.374;324.524508915636;3.408;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_pb_F_Y";"DE_Elbe";2011;"Y";27;597.296296296296;374.376296296296;8.66666666666667;1;0.962962962962963;601.423076923077;380.813846153846;8.69230769230769;NA;NA;NA;0.777777777777778;0.777777777777778;23.1777777777778;27.5;NA;63.6229756542051;NA;NA;108.699259259259;462.173300909402;50.0348148148148;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_pb_T_S";"DE_Elbe";2011;"S";5;678;655;13.2;1;1;678;655;13.2;NA;NA;NA;0.8;0.8;27.2;28.4;NA;85.6322294427769;NA;NA;43.264;494.801367076319;3.432;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_pb_T_Y";"DE_Elbe";2011;"Y";4;562.5;322;8;1;0.75;583.333333333333;356.333333333333;8;NA;NA;NA;0.75;0.75;17.025;20.6666666666667;NA;46.5558719488752;NA;NA;72.18;317.094248989559;6.18;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_teq_F_S";"DE_Elbe";2011;"S";5;660;544.2;9.4;1;1;660;544.2;9.4;NA;NA;NA;1;1;23.12;27.25;NA;65.2124391836593;NA;NA;219.374;324.524508915636;3.408;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_teq_F_Y";"DE_Elbe";2011;"Y";27;593.962962962963;373.746666666667;8.96296296296296;0.962962962962963;1;606.807692307692;386.890769230769;9.03846153846154;260;32;7;0.703703703703704;0.703703703703704;23.2407407407407;27.8333333333333;NA;61.9162047107428;NA;NA;107.820833333333;480.393424456212;27.28;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_teq_T_S";"DE_Elbe";2011;"S";5;678;655;13.2;1;1;678;655;13.2;NA;NA;NA;0.8;0.8;27.2;28.4;NA;85.6322294427769;NA;NA;43.264;494.801367076319;3.432;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_teq_T_Y";"DE_Elbe";2011;"Y";5;586;362.4;8.4;1;0.8;607.5;398.25;8.5;NA;NA;NA;0.8;0.8;18.36;22.75;NA;37.2686319361897;NA;NA;72.18;317.094248989559;6.18;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Ems_BALANCE_DCF_F_S";"DE_Ems";2020;"S";8;578.75;399.25;NA;0.875;NA;608.571428571429;442.714285714286;NA;370;95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Data generally considered representative for stow net catches near the estuary, but at the time of reporting was incomplete"
