Lfd. Nr.;Relevent WP years;FGE;series;Fangort bzw. Strom km;Habitat;Fangdatum;Toetungs-datum;Bearbeitungs-datum;Fangmonat;Fangjahr;Quartal;gear;Masse (g) gemessen;Laenge (cm) gemessen;G/B;Kopf;Neuromast;Auge v (mm);Auge h (mm);Brustfl.  (mm);Fett (%-Fatmeter Eel-1, ggf. korrigiert (aus eel-2?));Fett (%, Eel-2);Fett (%, keine Angabe des Programms) ;Otolithen;Sex;Leber (g);Eingeweide (g);Gonadengewicht (g);Schwimmblase (binär);Gewicht Schwimmblase (g);Galle (binär);Muskel;Hirn;TK;representative ;Bemerkungen;Wissenschaftler/Protokollant;Lagerung;Hälterung;Extra ID (Polen ID, Florian Id);Fett % (Labor);Fett (% hinter Anus);Muskel (binär);Muskelgewicht (g);DNA /Gewebeprobe (binär);Fettbeprobung (binär);Vollbeprobung;Leber Histo #;Blut Nr. ;Length (mm)  corrected;Length (cm) corrected;Length class (1cm);Length class (2cm);Length class (5cm);Length class (10cm);Mass (g) corrected;eye_diam_avg ;S1;SF2;SF3;SF4;SF5;SM2 (6);Stage (s.i.);Y/S nach Durif;Pankhurst ;Y/S nach Pankhurst;GSI;HSI;Age (y);Quality of age reading;PCB  (pg TEQ/g ww);Quecksilber Muskel (µg/kg ww);Quecksilber Leber;Pb Muskel (µg/kg dw) ;Cd Muskel (µg/kg dw);PAHs Pyr/380 (regional);PAHs Pyr/ml (physiologisch);A380;EROD;GST;Pseudodactylogyrus (n gesamt);Anguillicola cr. (n gesamt);Hartmannklasse
2040;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;24.07.2013;24.07.2013;7;2013;3;Reuse;204;49;b;p;2;5.5;5.8;22.5;NA;NA;13.6;2;f;4.2;NA;0.54;1;NA;1;;;NA;NA;Galle kaputt;NA;NA;NA;NA;NA;15.5;1;NA;1;0;1;2040;2040;490;49;49;48;45;40;204;5.65;80.42;82.94;80.33;68.78;74.25;76.07;2;y;5.116708749;y;0.264705882;2.058823529;8;3;;;;;;;;;;;;11;2
2041;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;24.07.2013;24.07.2013;7;2013;3;Reuse;197;52;t;n;2;5.5;6.1;21.6;NA;NA;26.4;2;f;3.3;NA;0.9;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;32.2;0;NA;1;0;0;NA;NA;520;52;52;52;50;50;197;5.8;88.72;92.64;89.92;76.77;82.70;82.83;2;y;5.080921965;y;0.456852792;1.675126904;6;3;;;;;;;;;;;;0;3
2042;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;24.07.2013;24.07.2013;7;2013;3;Reuse;270;54;b;p;3;6.3;6.6;25.1;NA;NA;30.3;2;f;3.75;NA;2.72;1;NA;1;;;NA;NA;Blut fehlt, Leber/Milz?;NA;NA;NA;NA;NA;34.5;1;NA;1;0;1;2042;2042;540;54;54;54;50;50;270;6.45;91.43;96.47;96.31;85.83;92.11;90.36;2;y;6.050838351;y;1.007407407;1.388888889;9;3;;;;;;;;;;;;;
2043;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;24.07.2013;24.07.2013;7;2013;3;Reuse;244;54;g;n;1;5.1;5.8;22.1;NA;NA;33.9;2;f;3.32;NA;1.67;1;NA;1;;;NA;NA;NA;NA;NA;NA;NA;NA;40.0;1;NA;1;0;1;2043;2043;540;54;54;54;50;50;244;5.45;86.85;90.58;86.96;72.63;77.68;77.27;2;y;4.320053509;y;0.68442623;1.360655738;10;2;;;;;;;;;;;;;
2044;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;24.07.2013;24.07.2013;7;2013;3;Reuse;330;59;b;p;3;6;6.1;25.1;NA;NA;28.9;2;f;5.44;NA;2.48;1;NA;1;;;NA;NA;NA;NA;NA;NA;NA;NA;33.2;1;NA;1;0;1;2044;2044;590;59;59;58;55;50;330;6.05;94.83;100.62;99.05;85.68;91.05;87.31;2;y;4.872463776;y;0.751515152;1.648484848;12;5;;;;;;;;;;;;;
2045;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;24.07.2013;24.07.2013;7;2013;3;Reuse;194;48;g;n;1;5.5;6.1;20;NA;NA;29.2;2;f;3.89;NA;0.62;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;33.5;0;NA;1;0;0;NA;NA;480;48;48;48;45;40;194;5.8;78.38;80.23;77.21;66.39;70.52;74.07;2;y;5.504332128;y;0.319587629;2.005154639;9;1;;;;;;;;;;;;;
2046;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;24.07.2013;24.07.2013;7;2013;3;Reuse;246;54;g;n;1;5.5;6.2;24.1;NA;NA;31.3;2;f;4.22;NA;1.48;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;35.5;0;NA;1;0;0;NA;NA;540;54;54;54;50;50;246;5.85;90.08;94.66;92.71;79.76;86.05;84.52;2;y;4.977460861;y;0.601626016;1.715447154;5;1;;;;;;;;;;;;;
2047;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;24.07.2013;24.07.2013;7;2013;3;Reuse;142;46;g;n;1;4.9;5.4;19.5;NA;NA;25.4;2;f;2.41;NA;0.38;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;460;46;46;46;45;40;142;5.15;75.24;76.29;71.71;58.85;63.71;67.99;2;y;4.528417998;y;0.267605634;1.697183099;6;1;;;;;;;;;;;;;
2048;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;24.07.2013;24.07.2013;7;2013;3;Reuse;194;48;g;b;1;5.3;6;22.7;NA;NA;29.4;1.5;f;4;NA;0.49;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;480;48;48;48;45;40;194;5.65;79.20;81.50;79.04;67.88;73.56;75.73;2;y;5.223306848;y;0.25257732;2.06185567;6;3;;;;;;;;;;;;;
2049;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;24.07.2013;24.07.2013;7;2013;3;Reuse;206;51;g;n;1;5.7;5.9;20.4;NA;NA;30.3;2;f;2.37;NA;0.49;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;510;51;51;50;50;50;206;5.8;84.59;87.65;84.56;72.18;76.87;78.47;2;y;5.180547886;y;0.237864078;1.150485437;6;1;;;;;;;;;;;;;
2050;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;24.07.2013;24.07.2013;7;2013;3;Reuse;200;50;g;n;1;5;5.3;21.1;NA;NA;23.1;2;f;2.94;NA;0.3;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;500;50;50;50;50;50;200;5.15;79.64;81.82;77.43;63.56;68.41;70.38;2;y;4.166144558;y;0.15;1.47;6;2;;;;;;;;;;;;;
2051;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;24.07.2013;24.07.2013;7;2013;3;Reuse;116;43;g;n;1;4.3;4.8;17.4;NA;NA;19.1;2;f;2.17;NA;0.1;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;430;43;43;42;40;40;116;4.55;66.17;65.22;58.66;45.09;48.66;55.68;1;y;3.781326855;y;0.086206897;1.870689655;5;1;;;;;;;;;;;;;
2052;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;24.07.2013;24.07.2013;7;2013;3;Reuse;135;42;g;n;1;4;4.7;18.3;NA;NA;38.4;2;f;2.13;NA;0.1;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;420;42;42;42;40;40;135;4.35;61.15;59.41;52.69;39.62;42.79;50.43;1;y;3.538499225;y;0.074074074;1.577777778;15;3;;;;;;;;;;;;;
2053;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;16.07.2013;26.07.2013;7;2013;3;Reuse;275;53;t;n;2;5.9;6.2;26.1;NA;NA;29.4;2;f;3.9;NA;2.42;1;NA;0;;;1;NA;"Gefroren; Bei Transport gestorben";NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;543.25;54.325;54;54;50;50;282.7;6.05;89.24;94.00;93.15;81.59;87.99;85.87;2;y;5.291769218;y;0.88;1.418181818;7;4;;;;;;;;;;;;;
2054;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;16.07.2013;26.07.2013;7;2013;3;Reuse;60;33;g;p;1;4.2;4.1;14.5;NA;NA;18.8;2;m;1.2;NA;0.1;1;NA;0;;;1;NA;"Gefroren; Bei Transport gestorben; Schwimmblase völlig degradiert";NA;NA;NA;NA;NA;NA;0;NA;0;0;0;NA;NA;338.25;33.825;33;32;30;30;61.68;4.15;45.84;40.69;32.80;22.24;23.56;37.19;1;y;3.998971136;y;0.166666667;2;5;4;;;;;;;;;;;;;
2055;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;16.07.2013;26.07.2013;7;2013;3;Reuse;265;52;g;n;1;5.8;6.1;20.4;NA;NA;25.6;2;f;4.88;NA;NA;1;NA;0;;;1;NA;"Gefroren; Bei Transport gestorben";NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;533;53.3;53;52;50;50;272.42;5.95;83.81;86.92;83.93;72.18;75.28;76.65;2;y;5.216708908;y;#WERT!;1.841509434;6;2;;;;;;;;;;;;;
2056;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;16.07.2013;26.07.2013;7;2013;3;Reuse;189;48;t;n;1;5.2;5.8;19.4;NA;NA;23.2;2;f;2.46;NA;NA;1;NA;0;;;1;NA;"Gefroren; Bei Transport gestorben";NA;NA;NA;NA;NA;NA;0;NA;0;0;0;NA;NA;492;49.2;49;48;45;40;194.292;5.5;79.22;81.14;77.10;64.58;68.54;71.70;2;y;4.828921635;y;#WERT!;1.301587302;8;3;;;;;;;;;;;;;
2057;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;16.07.2013;26.07.2013;7;2013;3;Reuse;146;44;g;n;1;5;5.3;21;NA;NA;23.4;2;f;3.02;NA;NA;1;NA;0;;;1;NA;"Gefroren; Bei Transport gestorben";NA;NA;NA;NA;NA;NA;0;NA;0;0;0;NA;NA;451;45.1;45;44;45;40;150.088;5.15;73.11;73.96;69.93;57.90;63.16;67.41;2;y;4.618785541;y;#WERT!;2.068493151;7;3;;;;;;;;;;;;;
2058;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;16.07.2013;26.07.2013;7;2013;3;Reuse;424;67;b;p;2;5.3;6.1;26.3;NA;NA;NA;2;f;NA;NA;NA;0;NA;0;;;1;NA;"Gefroren; Bei Transport gestorben; Lag neben dem Becken; Zu vergammelt für innere Werte";NA;NA;NA;NA;NA;NA;0;NA;0;0;0;NA;NA;686.75;68.675;68;68;65;60;435.872;5.7;105.60;113.74;110.92;93.08;97.88;89.34;2;y;3.715702414;y;#WERT!;#WERT!;10;3;;;;;;;;;;;;;
2059;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;26.07.2013;26.07.2013;7;2013;3;Reuse;95;41;g;n;1;3.4;4.4;16.6;NA;NA;14;2;f;1.91;NA;0.3;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;410;41;41;40;40;40;95;3.9;59.51;57.15;48.86;33.99;37.09;45.62;1;y;2.913635626;y;0.315789474;2.010526316;4;2;;;;;;;;;;;;;
2060;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;26.07.2013;26.07.2013;7;2013;3;Reuse;107;41;g;b;1;5.1;5;19.1;NA;NA;28.1;2;f;2.15;NA;0.2;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;410;41;41;40;40;40;107;5.05;66.12;65.36;60.77;49.84;54.39;61.51;1;y;4.885272357;y;0.186915888;2.009345794;4;1;;;;;;;;;;;;;
2061;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;26.07.2013;26.07.2013;7;2013;3;Reuse;122;42;g;p;1;4;3.8;16.7;NA;NA;27.8;2;f;1.83;NA;0.44;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;420;42;42;42;40;40;122;3.9;59.07;56.71;48.35;33.51;36.02;44.37;1;y;2.844263349;y;0.360655738;1.5;3;2;;;;;;;;;;;;;
2062;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;26.07.2013;26.07.2013;7;2013;3;Reuse;113;43;g;n;1;4.2;4.5;16.8;NA;NA;24.5;2;f;1.73;NA;0.34;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;430;43;43;42;40;40;113;4.35;65.02;63.77;56.51;42.22;45.47;52.80;1;y;3.456208546;y;0.300884956;1.530973451;5;4;;;;;;;;;;;;;
2063;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;26.07.2013;26.07.2013;7;2013;3;Reuse;123;44;g;n;1;5;5.5;18.1;NA;NA;23.2;2;f;2.12;NA;0.3;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;440;44;44;44;40;40;123;5.25;72.15;72.43;67.78;55.94;60.15;66.08;2;y;4.919894745;y;0.243902439;1.723577236;8;2;;;;;;;;;;;;;
2064;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;26.07.2013;26.07.2013;7;2013;3;Reuse;91;38;g;n;1;4.4;4.8;16.2;NA;NA;19.1;2;f;2.19;NA;0.25;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;380;38;38;38;35;30;91;4.6;56.31;53.37;46.87;35.90;38.40;48.83;1;y;4.373427668;y;0.274725275;2.406593407;3;1;;;;;;;;;;;;;
2065;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;26.07.2013;26.07.2013;7;2013;3;Reuse;80;37;g;n;1;3.9;4.2;16.9;NA;NA;27.6;2;f;1.65;NA;0.25;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;370;37;37;36;35;30;80;4.05;52.46;48.83;41.29;29.01;31.87;42.54;1;y;3.481754966;y;0.3125;2.0625;5;2;;;;;;;;;;;;;
2066;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;26.07.2013;26.07.2013;7;2013;3;Reuse;66;34;g;n;1;3.5;4;14.3;NA;NA;17.2;1;f;1.72;NA;0.1;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;340;34;34;34;30;30;66;3.75;43.45;37.83;28.86;17.06;18.03;31.85;1;y;3.248429904;y;0.151515152;2.606060606;4;3;;;;;;;;;;;;;
2067;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;26.07.2013;26.07.2013;7;2013;3;Reuse;97;39;g;n;1;4.8;4.7;15;NA;NA;24.2;2;f;1.87;NA;0.25;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;390;39;39;38;35;30;97;4.75;58.18;55.47;48.86;37.81;39.69;50.18;1;y;4.543729759;y;0.257731959;1.927835052;4;2;;;;;;;;;;;;;
2068;before 2020;Elbe;Elbe;Hoopte;R;13.-16-07.2013;26.07.2013;26.07.2013;7;2013;3;Reuse;106;41;g;n;1;4.5;4.8;16.8;NA;NA;21.3;2;f;2.4;NA;0.1;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;410;41;41;40;40;40;106;4.65;62.60;60.91;54.53;42.24;45.34;53.76;1;y;4.142017509;y;0.094339623;2.264150943;6;2;;;;;;;;;;;;;
2069;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;114;41;g;n;1;5.4;5.9;15.5;NA;NA;22.3;2;f;1.73;NA;0.4;1;NA;1;;;NA;NA;Hat noch Darminhalt -> Galle entnommen;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;410;41;41;40;40;40;114;5.65;66.48;65.45;61.09;52.00;54.39;63.37;1;y;6.115090944;y;0.350877193;1.51754386;5;3;;;;;;;;;;;;5;2
2070;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;977;83;b;p;3;9.5;9.5;35.1;NA;NA;24.6;2;f;9.98;NA;14.6;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;830;83;83;82;80;80;977;9.5;108.31;119.63;127.32;125.70;122.49;109.60;3;y;8.540022198;s;1.494370522;1.021494371;8;3;;;;;;;;;;;;0;2
2071;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;218;48;t;n;1;5.6;6.8;20.5;NA;NA;25.2;2;f;3.86;NA;0.74;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;480;48;48;48;45;40;218;6.2;78.31;80.30;78.40;69.40;73.16;76.82;2;y;6.289730292;y;0.339449541;1.770642202;7;3;;;;;;;;;;;;4;3
2072;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;201;47;t;p;2;5.7;5.7;22;NA;NA;21.5;2;f;3.15;NA;0.28;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;470;47;47;46;45;40;201;5.7;75.88;77.51;74.98;64.73;69.53;72.86;2;y;5.429273687;y;0.139303483;1.567164179;6;4;;;;;;;;;;;;9;2
2073;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;182;47;t;p;2;5.6;5.6;20.6;NA;NA;14.2;2;f;2.21;NA;0.52;1;NA;0;;;NA;NA;Hautkrank;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;470;47;47;46;45;40;182;5.6;76.51;78.05;74.83;63.74;68.32;72.03;2;y;5.240443916;y;0.285714286;1.214285714;6;3;;;;;;;;;;;;11;3
2074;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;232;50;t;p;2;6.2;7;20.2;NA;NA;24.7;2;f;3.99;NA;0.99;1;NA;0;;;NA;NA;Verpilzt;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;500;50;50;50;50;50;232;6.6;83.67;86.67;85.51;76.83;80.55;83.21;2;y;6.8423888;s;0.426724138;1.719827586;5;3;;;;;;;;;;;;4;2
2075;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;126;42;g;b;1;4.9;5.6;18.5;NA;NA;12.3;2;f;2.03;NA;0.72;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;420;42;42;42;40;40;126;5.25;67.23;66.67;62.27;51.76;55.63;62.73;1;y;5.154175447;y;0.571428571;1.611111111;3;2;;;;;;;;;;;;2;1
2076;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;166;43;g;n;1;4.3;5;16.6;NA;NA;33;2;f;3.04;NA;0.36;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;430;43;43;42;40;40;166;4.65;60.84;58.96;52.28;40.17;41.65;50.06;1;y;3.949365532;y;0.21686747;1.831325301;2;3;;;;;;;;;;;;19;1
2077;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;97;39;t;p;2;4.8;5.7;18.7;NA;NA;24.2;2;f;1.31;NA;0.37;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;390;39;39;38;35;30;97;5.25;63.23;61.88;57.79;48.46;52.68;61.08;1;y;5.550650482;y;0.381443299;1.350515464;2;2;;;;;;;;;;;;7;2
2078;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;127;43;g;b;2;4.4;5.2;16.4;NA;NA;24.7;2;f;2.15;NA;0.64;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;430;43;43;42;40;40;127;4.8;65.76;64.66;58.36;45.77;48.47;56.16;1;y;4.20827295;y;0.503937008;1.692913386;3;2;;;;;;;;;;;;2;1
2079;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;124;43;t;b;2;4.9;5.4;19.5;NA;NA;21.1;2;f;2.6;NA;0.29;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;430;43;43;42;40;40;124;5.15;69.93;69.96;65.59;54.16;58.90;64.80;2;y;4.844354137;y;0.233870968;2.096774194;8;5;;;;;;;;;;;;3;1
2080;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;125;42;t;p;1;5.2;5.8;18.9;NA;NA;21;2;f;1.49;NA;0.22;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;420;42;42;42;40;40;125;5.5;68.97;68.79;65.14;55.40;59.62;66.42;1;y;5.656736772;y;0.176;1.192;8;4;;;;;;;;;;;;19;2
2081;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;142;42;t;p;2;5.2;5.9;20.8;NA;NA;22.2;2;f;2.66;NA;0.35;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;420;42;42;42;40;40;142;5.55;68.58;68.59;65.69;56.60;61.40;67.52;2;y;5.76005403;y;0.246478873;1.873239437;7;4;;;;;;;;;;;;3;2
2082;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;123;42;t;p;2;5.2;6;15.6;NA;NA;23.8;2;f;1.86;NA;0.19;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;420;42;42;42;40;40;123;5.6;67.72;66.93;62.41;52.77;55.14;63.60;1;y;5.864306287;y;0.154471545;1.512195122;3;2;;;;;;;;;;;;9;1
2083;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;101;39;t;p;2;4.5;5;17.6;NA;NA;25.8;2;f;1.35;NA;0.39;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;390;39;39;38;35;30;101;4.75;59.35;57.15;51.43;40.60;43.88;53.08;1;y;4.543729759;y;0.386138614;1.336633663;2;2;;;;;;;;;;;;3;1
2084;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;119;45;t;p;2;5.3;6.2;18.4;NA;NA;21.3;2;f;1.96;NA;0.4;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;450;45;45;44;45;40;119;5.75;77.96;79.35;75.99;64.99;69.92;74.81;2;y;5.770494839;y;0.336134454;1.647058824;5;3;;;;;;;;;;;;2;1
2085;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;205;50;t;p;3;5.4;5.7;21.9;NA;NA;22.9;2;f;2.72;NA;1;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;500;50;50;50;50;50;205;5.55;81.81;84.51;81.39;68.90;74.19;75.72;2;y;4.838445386;y;0.487804878;1.326829268;6;3;;;;;;;;;;;;8;2
2086;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;142;43;t;p;2;5;5.9;19.1;NA;NA;25;2;f;2.21;NA;0.82;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;430;43;43;42;40;40;142;5.45;69.40;69.36;65.57;55.47;59.47;65.86;1;y;5.425183476;y;0.577464789;1.556338028;5;4;;;;;;;;;;;;8;2
2087;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;212;51;t;p;2;5.2;6.1;21.8;NA;NA;25.2;2;f;3.23;NA;0.8;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;510;51;51;50;50;50;212;5.65;83.97;87.08;84.09;71.46;76.73;77.76;2;y;4.916053504;y;0.377358491;1.523584906;6;4;;;;;;;;;;;;1;2
2088;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;141;44;t;p;2;4.9;5.5;20;NA;NA;29.4;2;f;1.97;NA;NA;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;440;44;44;44;40;40;141;5.2;71.10;71.44;67.28;55.81;60.54;65.85;2;y;4.826628713;y;#WERT!;1.397163121;4;5;;;;;;;;;;;;12;2
2089;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;147;42;t;p;2;5.5;5.9;17.9;NA;NA;21.8;2;f;2.08;NA;NA;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;420;42;42;42;40;40;147;5.7;67.09;66.52;62.99;54.35;57.31;65.02;1;y;6.075615793;y;#WERT!;1.414965986;7;3;;;;;;;;;;;;5;1
2090;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;156;44;t;p;2;4.6;5.3;18.9;NA;NA;22;1.5;f;2.43;NA;0.52;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;440;44;44;44;40;40;156;4.95;67.41;66.99;61.80;49.87;53.37;59.63;1;y;4.373686022;y;0.333333333;1.557692308;3;2;;;;;;;;;;;;16;2
2091;before 2020;Schlei/Trave;Schlei;Schleswig;M;26.-28.07.2013;06.08.2013;06.08.2013;8;2013;3;Reuse;109;40;t;p;2;4.9;4.9;17.3;NA;NA;24.3;2;f;1.6;NA;0.51;1;NA;0;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;1;0;0;NA;NA;400;40;40;40;40;40;109;4.9;61.55;59.75;54.22;43.41;46.54;55.36;1;y;4.714352476;y;0.467889908;1.467889908;6;3;;;;;;;;;;;;;
