Lfd. Nr.;Relevent WP years;FGE;series;Fangort bzw. Strom km;Habitat;Fangdatum;Toetungs-datum;Bearbeitungs-datum;Fangmonat;Fangjahr;Quartal;gear;Masse (g) gemessen;Laenge (cm) gemessen;G/B;Kopf;Neuromast;Auge v (mm);Auge h (mm);Brustfl.  (mm);Fett (%-Fatmeter Eel-1, ggf. korrigiert (aus eel-2?));Fett (%, Eel-2);Fett (%, keine Angabe des Programms) ;Otolithen;Sex;Leber (g);Eingeweide (g);Gonadengewicht (g);Schwimmblase (binär);Gewicht Schwimmblase (g);Galle (binär);Muskel;Hirn;TK;representative ;Bemerkungen;Wissenschaftler/Protokollant;Lagerung;Hälterung;Extra ID (Polen ID, Florian Id);Fett % (Labor);Fett (% hinter Anus);Muskel (binär);Muskelgewicht (g);DNA /Gewebeprobe (binär);Fettbeprobung (binär);Vollbeprobung;Leber Histo #;Blut Nr. ;Length (mm)  corrected;Length (cm) corrected;Length class (1cm);Length class (2cm);Length class (5cm);Length class (10cm);Mass (g) corrected;eye_diam_avg ;S1;SF2;SF3;SF4;SF5;SM2 (6);Stage (s.i.);Y/S nach Durif;Pankhurst ;Y/S nach Pankhurst;GSI;HSI;Age (y);Quality of age reading;PCB  (pg TEQ/g ww);Quecksilber Muskel (µg/kg ww);Quecksilber Leber;Pb Muskel (µg/kg dw) ;Cd Muskel (µg/kg dw);PAHs Pyr/380 (regional);PAHs Pyr/ml (physiologisch);A380;EROD;GST;Pseudodactylogyrus (n gesamt);Anguillicola cr. (n gesamt);Hartmannklasse
6166;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;100.6;40;G;NA;NA;4.6;3.9;14.6;16.5;NA;NA;2;f;1.33;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;400;40;40;40;40;40;100.6;4.25;57.19;54.23;46.18;33.03;34.64;44.89;1;y;3.546563582;y;#WERT!;1.322067594;;;;;;;;;;;;;;;
6167;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;142.6;47;G;NA;NA;4.2;6.6;13.6;16.6;NA;NA;2;f;1.23;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;470;47;47;46;45;40;142.6;5.4;75.36;75.78;69.73;56.75;58.43;65.10;2;y;4.872810733;y;#WERT!;0.862552595;;;;;;;;;;;;;;;
6168;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;03.10.2019;NP;04.11.2019;10;2019;4;Aalreuse;108.9;41;NA;NA;NA;4.8;4.1;18.8;13.9;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;410;41;41;40;40;40;108.9;4.45;62.41;60.90;54.71;41.96;46.08;53.57;1;y;3.793377349;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6169;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;03.10.2019;NP;04.11.2019;10;2019;4;Aalreuse;119.4;42;NA;NA;NA;5.6;4.3;15.3;10.5;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;420;42;42;42;40;40;119.4;4.95;64.32;62.83;56.59;44.85;46.95;55.69;1;y;4.581956785;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6170;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;03.10.2019;NP;04.11.2019;10;2019;4;Aalreuse;85.2;37;NA;NA;NA;4.6;5;16.7;15.6;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;370;37;37;36;35;30;85.2;4.8;55.94;52.98;47.22;37.37;40.18;50.84;1;y;4.89069559;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6171;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;03.10.2019;NP;04.11.2019;10;2019;4;Aalreuse;118.4;41;NA;NA;NA;5.2;4.7;18.9;16.1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;410;41;41;40;40;40;118.4;4.95;64.21;63.11;58.17;47.20;51.23;58.71;1;y;4.693711829;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6172;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;03.10.2019;NP;04.11.2019;10;2019;4;Aalreuse;97.3;37;NA;NA;NA;4.6;5.6;14.3;21.4;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;370;37;37;36;35;30;97.3;5.1;54.82;51.44;45.58;36.82;37.91;49.99;1;y;5.521136819;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6173;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;03.10.2019;NP;04.11.2019;10;2019;4;Aalreuse;77.8;38;NA;NA;NA;5.6;5.1;15;13.1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;380;38;38;38;35;30;77.8;5.35;61.16;58.98;53.96;44.92;47.39;57.97;1;y;5.915804982;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6174;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;03.10.2019;NP;04.11.2019;10;2019;4;Aalreuse;85.4;36;NA;NA;NA;4.9;3.6;14.4;11.4;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;360;36;36;36;35;30;85.4;4.25;49.03;44.52;36.67;25.63;26.67;39.36;1;y;3.940626202;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
6175;before 2020;Schlei/Trave;Schlei;Mittelschlei-Boknis;M;03.10.2019;NP;04.11.2019;10;2019;4;Aalreuse;99.5;40;NA;NA;NA;4.9;5.2;16.4;16.3;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;M.F.;NA;NA;;;;;;;;;;;400;40;40;40;40;40;99.5;5.05;62.85;61.18;55.73;45.11;48.07;57.12;1;y;5.007404166;y;#WERT!;#WERT!;;;;;;;;;;;;;;;
